state_code,cve_geo,state_name,state_name_normalized
AGU,1,Aguascalientes,AGUASCALIENTES
BCN,2,Baja California,BAJA CALIFORNIA
BCS,3,Baja California Sur,BAJA CALIFORNIA SUR
CAM,4,Campeche,CAMPECHE
COA,5,Coahuila,COAHUILA
COL,6,Colima,COLIMA
CHP,7,Chiapas,CHIAPAS
CHH,8,Chihuahua,CHIHUAHUA
CMX,9,Ciudad de México,CIUDAD DE MEXICO
DUR,10,Durango,DURANGO
GUA,11,Guanajuato,GUANAJUATO
GRO,12,Guerrero,GUERRERO
HID,13,Hidalgo,HIDALGO
JAL,14,Jalisco,JALISCO
MEX,15,México,MEXICO
MIC,16,Michoacán,MICHOACAN
MOR,17,Morelos,MORELOS
NAY,18,Nayarit,NAYARIT
NLE,19,Nuevo León,NUEVO LEON
OAX,20,Oaxaca,OAXACA
PUE,21,Puebla,PUEBLA
QUE,22,Querétaro,QUERETARO
ROO,23,Quintana Roo,QUINTANA ROO
SLP,24,San Luis Potosí,SAN LUIS POTOSI
SIN,25,Sinaloa,SINALOA
SON,26,Sonora,SONORA
TAB,27,Tabasco,TABASCO
TAM,28,Tamaulipas,TAMAULIPAS
TLA,29,Tlaxcala,TLAXCALA
VER,30,Veracruz,VERACRUZ
YUC,31,Yucatán,YUCATAN
ZAC,32,Zacatecas,ZACATECAS
